127.0.0.1 - - [27/Jan/2023:14:07:48 +0100] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:07:50 +0100] "GET /Prj04_TodoList/ HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:07:50 +0100] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:07:56 +0100] "GET /Prj04_TodoList/?todo=pane HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:08:00 +0100] "GET /Prj04_TodoList/?todo=latte HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:11:49 +0100] "GET /Prj04_TodoList/?todo=latte HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:11:53 +0100] "GET /Prj04_TodoList/?todo=pane HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:12:01 +0100] "GET /Prj04_TodoList/?todo=latte HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:12:12 +0100] "GET /Prj04_TodoList/?todo=sale HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:12:49 +0100] "GET /Prj04_TodoList/?todo=sale HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:12:52 +0100] "GET /Prj04_TodoList/?todo=sale HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:12:55 +0100] "GET /Prj04_TodoList/?todo=pane HTTP/1.1" 200 508
0:0:0:0:0:0:0:1 - - [27/Jan/2023:14:13:01 +0100] "GET /Prj04_TodoList/?todo=ddd HTTP/1.1" 200 506
